Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2026-01-26,V (Oct 2026),0.0000,21.0000,22.0000,0.0000,21.50,0,0,0,0
2026-01-27,V (Oct 2026),21.8500,21.9000,21.8000,21.9000,21.875,0.375,130,0,120
2026-01-28,V (Oct 2026),22.0000,22.0500,21.9500,21.9500,21.825,-0.050,56,0,124
2026-01-29,V (Oct 2026),22.2000,22.3500,22.0000,22.3500,22.00,0.175,12,0,124
2026-01-30,V (Oct 2026),22.0000,22.2500,22.0000,22.2000,22.20,0.20,51,0,147
2026-02-02,V (Oct 2026),22.1000,22.4500,21.9000,21.9500,21.975,-0.225,46,0,185
2026-02-03,V (Oct 2026),22.0000,22.2500,22.0000,22.1500,22.20,0.225,23,0,207
2026-02-04,V (Oct 2026),22.1500,22.4000,22.1500,22.3000,22.35,0.15,36,0,237
2026-02-05,V (Oct 2026),22.4500,22.6000,22.4000,22.6000,22.525,0.175,10,0,245
2026-02-06,V (Oct 2026),22.6000,22.7000,22.1500,22.1500,22.125,-0.400,22,0,256
2026-02-09,V (Oct 2026),21.6500,22.1500,21.6500,22.0000,22.05,-0.075,148,0,253
2026-02-10,V (Oct 2026),22.1500,22.2000,22.0000,22.2000,22.25,0.20,26,0,259
2026-02-11,V (Oct 2026),22.3000,22.3000,22.1000,22.2200,22.175,-0.075,19,0,268
2026-02-12,V (Oct 2026),22.1500,22.6000,22.1000,22.5500,22.55,0.375,45,0,278
2026-02-13,V (Oct 2026),22.6500,22.6500,22.3000,22.4000,22.475,-0.075,34,0,309
2026-02-17,V (Oct 2026),22.9000,22.9000,22.4000,22.5500,22.30,-0.175,7,0,314
2026-02-18,V (Oct 2026),22.3000,22.6000,22.2500,22.6000,22.50,0.20,61,0,329
2026-02-19,V (Oct 2026),22.5500,22.7000,22.5000,22.6500,22.6312,0.1312,48,0,355
2026-02-20,V (Oct 2026),22.7000,22.7500,22.4500,22.5000,22.599,-0.0322,2,0,354
2026-02-23,V (Oct 2026),22.8000,22.8000,22.6000,22.7000,22.775,0.176,20,0,359
2026-02-24,V (Oct 2026),22.7000,22.8500,22.5500,22.6500,22.6999,-0.0751,43,0,373
2026-02-25,V (Oct 2026),22.6000,22.7000,22.5000,22.5200,22.55,-0.1499,54,0,418
2026-02-26,V (Oct 2026),22.6500,22.8500,22.5500,22.7500,22.735,0.185,60,0,421
2026-02-27,V (Oct 2026),22.9500,23.0000,22.7800,22.7800,22.825,0.090,298,0,569
2026-03-02,V (Oct 2026),23.8500,23.8500,22.4500,22.9500,22.9359,0.1109,178,0,591
2026-03-03,V (Oct 2026),23.0000,23.5500,22.3500,22.9500,22.95,0.0141,247,0,679
2026-03-04,V (Oct 2026),23.1200,23.1700,22.7000,22.8500,22.8462,-0.1038,70,0,674
2026-03-05,V (Oct 2026),23.0000,23.2000,22.9000,23.1500,23.10,0.2538,177,0,728
2026-03-06,V (Oct 2026),23.4000,23.5500,23.1000,23.4500,23.475,0.375,955,0,1215
2026-03-09,V (Oct 2026),23.2200,24.5000,23.2200,23.4000,23.3483,-0.1267,326,0,1244
2026-03-10,V (Oct 2026),23.5600,23.6000,23.2000,23.5500,23.5759,0.2276,318,0,1412
2026-03-11,V (Oct 2026),23.5000,23.7200,23.4700,23.5000,23.5242,-0.0517,446,0,1580
2026-03-12,V (Oct 2026),23.5000,23.9000,23.5000,23.8000,23.8358,0.3116,246,0,1632
2026-03-13,V (Oct 2026),23.7800,24.0000,23.6000,24.0000,23.975,0.1392,758,0,1955
2026-03-16,V (Oct 2026),24.0000,24.0500,23.5500,23.6200,23.575,-0.400,726,0,2179
2026-03-17,V (Oct 2026),23.5000,23.7500,23.3800,23.6000,23.626,0.051,769,0,2601
2026-03-18,V (Oct 2026),23.5900,24.2500,23.4200,24.2000,24.1651,0.5391,1584,0,3175
2026-03-19,V (Oct 2026),24.1500,24.5500,23.8900,24.0800,24.1006,-0.0645,2176,0,3755
2026-03-20,V (Oct 2026),24.0000,24.5000,23.9800,24.3500,24.4549,0.3543,1816,0,4221
2026-03-23,V (Oct 2026),24.4000,24.6500,23.5300,23.7400,23.775,-0.6799,1513,0,4455
2026-03-24,V (Oct 2026),23.7000,24.0500,23.5500,23.7500,24.00,0.225,670,0,4595
2026-03-25,V (Oct 2026),23.6300,24.1000,23.6000,23.9000,24.024,0.024,2998,0,5444
2026-03-26,V (Oct 2026),23.9000,24.3500,23.8400,24.1700,24.2882,0.2642,2097,0,5827
2026-03-27,V (Oct 2026),24.1500,24.9500,24.1000,24.8500,24.8993,0.6111,1719,0,6087
2026-03-30,V (Oct 2026),24.9000,24.9500,24.5300,24.9000,24.875,-0.0243,1526,0,6565
2026-03-31,V (Oct 2026),24.9000,24.9200,24.2200,24.4300,24.50,-0.375,2058,0,7004
2026-04-01,V (Oct 2026),24.3600,24.4500,23.9700,24.1500,24.1484,-0.3516,3208,0,7308
2026-04-02,V (Oct 2026),24.0900,24.6000,23.8500,23.9300,23.90,-0.2484,1089,0,7217
2026-04-06,V (Oct 2026),24.0000,24.8500,23.5800,23.8300,23.8794,-0.0206,2138,0,7227
2026-04-07,V (Oct 2026),23.7500,24.2500,23.7500,23.9000,23.9374,0.0580,2977,0,8246
2026-04-08,V (Oct 2026),23.8900,23.9100,23.0500,23.2000,23.0959,-0.8415,3277,0,8268
2026-04-09,V (Oct 2026),23.1000,23.2000,22.8000,22.9300,22.975,-0.1209,1186,0,8316
2026-04-10,V (Oct 2026),22.9000,23.1200,22.8500,23.0000,23.075,0.100,1310,0,8707
2026-04-13,V (Oct 2026),23.3000,23.3500,22.7500,22.7800,22.8129,-0.2621,1831,0,9093
