Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2026-03-23,Z (Dec 2026),0.0000,17.5000,0.0000,0.0000,23.675,0,0,0,0
2026-03-24,Z (Dec 2026),0.0000,20.6000,24.2500,0.0000,23.8515,0.1765,0,0,0
2026-03-25,Z (Dec 2026),23.5600,23.7000,23.5600,23.6700,23.9496,0.0981,21,0,21
2026-03-26,Z (Dec 2026),22.7000,23.8500,22.7000,23.7000,23.85,-0.0996,60,0,79
2026-03-27,Z (Dec 2026),24.0200,24.2400,23.8500,24.1500,24.075,0.225,36,0,99
2026-03-30,Z (Dec 2026),24.2000,24.2000,24.0000,24.0000,24.05,-0.025,43,0,126
2026-03-31,Z (Dec 2026),23.5000,23.9500,23.3000,23.8500,23.8108,-0.2392,96,0,182
2026-04-01,Z (Dec 2026),23.9500,24.0000,23.6300,23.6300,23.575,-0.2358,118,0,290
2026-04-02,Z (Dec 2026),23.9000,24.0000,23.4200,23.4700,23.325,-0.250,29,0,306
2026-04-06,Z (Dec 2026),23.4200,23.4500,23.3000,23.3500,23.30,-0.025,14,0,318
2026-04-07,Z (Dec 2026),23.8000,23.8100,23.4000,23.4500,23.525,0.225,15,0,326
2026-04-08,Z (Dec 2026),23.0500,23.2500,22.9000,23.0900,23.025,-0.500,125,0,387
2026-04-09,Z (Dec 2026),23.1500,23.1500,22.7300,22.7300,22.775,-0.250,232,0,615
2026-04-10,Z (Dec 2026),22.7500,23.1000,22.7500,22.9500,22.9044,0.1294,44,0,631
