DATE,OPEN,HIGH,LOW,CLOSE
09/16/2025,30.980000,31.630000,30.790000,31.440000
09/17/2025,31.800000,32.700000,30.580000,31.540000
09/18/2025,31.020000,32.970000,30.920000,32.480000
09/19/2025,32.540000,32.840000,31.830000,31.860000
09/22/2025,32.800000,33.510000,32.330000,33.270000
09/23/2025,33.190000,34.330000,32.830000,33.480000
09/24/2025,33.250000,34.490000,32.580000,33.290000
09/25/2025,34.160000,35.220000,33.330000,33.890000
09/26/2025,34.130000,34.210000,32.670000,32.810000
09/29/2025,33.630000,33.910000,32.940000,33.310000
09/30/2025,33.930000,34.290000,33.240000,33.730000
10/01/2025,33.990000,34.850000,33.110000,33.900000
10/02/2025,34.100000,35.110000,34.070000,34.950000
10/03/2025,35.210000,36.520000,34.670000,35.810000
10/06/2025,36.650000,38.830000,36.650000,38.160000
10/07/2025,38.180000,39.600000,37.340000,38.240000
10/08/2025,38.060000,38.640000,37.290000,38.470000
10/09/2025,38.350000,39.410000,37.050000,37.440000
10/10/2025,37.560000,44.220000,36.790000,43.470000
10/13/2025,41.710000,44.070000,40.990000,42.890000
10/14/2025,43.640000,45.600000,43.320000,44.310000
10/15/2025,43.370000,44.410000,42.000000,43.350000
10/16/2025,41.730000,46.040000,41.670000,45.560000
10/17/2025,44.960000,45.790000,44.120000,45.010000
10/20/2025,43.660000,43.760000,41.460000,42.320000
10/21/2025,42.900000,43.280000,40.920000,41.030000
10/22/2025,40.960000,42.830000,40.320000,41.650000
10/23/2025,41.280000,41.380000,39.660000,40.060000
10/24/2025,39.120000,42.460000,38.560000,39.260000
10/27/2025,39.640000,40.090000,39.400000,40.090000
10/28/2025,39.970000,40.190000,39.380000,39.540000
10/29/2025,39.020000,41.500000,39.010000,40.980000
10/30/2025,40.010000,40.320000,39.340000,39.650000
10/31/2025,39.070000,40.060000,38.650000,38.800000
11/03/2025,39.000000,40.390000,38.970000,39.190000
11/04/2025,40.560000,40.690000,39.610000,40.140000
11/05/2025,39.940000,39.970000,38.350000,38.460000
11/06/2025,39.020000,40.880000,38.900000,40.570000
11/07/2025,41.510000,43.640000,40.960000,41.220000
11/10/2025,40.510000,40.630000,39.400000,39.810000
11/11/2025,41.110000,41.110000,39.570000,39.950000
11/12/2025,39.800000,41.200000,39.190000,39.210000
11/13/2025,40.130000,41.960000,39.590000,41.530000
11/14/2025,42.830000,43.420000,40.860000,41.590000
11/17/2025,42.250000,43.430000,41.150000,43.020000
11/18/2025,43.490000,46.470000,43.470000,44.670000
11/19/2025,44.920000,45.050000,43.010000,43.840000
11/20/2025,40.550000,48.460000,38.550000,47.680000
11/21/2025,45.830000,50.980000,44.780000,45.910000
11/24/2025,45.800000,46.370000,40.720000,41.180000
11/25/2025,41.290000,42.630000,39.600000,39.670000
11/26/2025,39.130000,39.380000,37.510000,37.580000
11/28/2025,37.920000,38.130000,36.610000,36.610000
12/01/2025,38.410000,38.560000,36.770000,37.240000
12/02/2025,36.810000,37.100000,36.070000,36.170000
12/03/2025,36.400000,37.060000,35.510000,35.520000
12/04/2025,35.670000,36.100000,35.220000,36.020000
12/05/2025,36.680000,36.720000,35.200000,35.420000
12/08/2025,36.540000,36.540000,35.950000,36.130000
12/09/2025,36.460000,36.780000,35.980000,36.180000
12/10/2025,36.510000,36.970000,33.680000,34.760000
12/11/2025,35.330000,36.440000,34.070000,34.370000
12/12/2025,34.580000,37.290000,34.290000,36.080000
12/15/2025,36.260000,36.900000,35.340000,35.770000
12/16/2025,35.700000,36.390000,34.630000,35.170000
12/17/2025,35.120000,37.330000,34.680000,36.370000
12/18/2025,34.700000,35.760000,33.640000,33.920000
12/19/2025,33.530000,33.630000,31.470000,31.480000
12/22/2025,32.970000,33.360000,31.730000,31.760000
12/23/2025,32.060000,32.080000,30.580000,30.620000
12/24/2025,31.140000,31.190000,30.420000,30.420000
12/26/2025,31.370000,31.450000,30.710000,30.750000
12/29/2025,32.820000,32.910000,32.020000,32.040000
12/30/2025,32.280000,32.300000,31.790000,32.030000
12/31/2025,32.380000,32.620000,32.330000,32.580000
01/02/2026,32.580000,34.050000,32.510000,33.870000
01/05/2026,34.800000,35.900000,34.800000,35.620000
01/06/2026,35.560000,36.390000,35.310000,35.390000
01/07/2026,35.650000,35.720000,34.450000,34.500000
01/08/2026,34.830000,35.440000,34.390000,34.400000
01/09/2026,34.450000,34.530000,33.330000,33.650000
01/12/2026,33.720000,33.760000,32.150000,32.500000
01/13/2026,32.680000,33.470000,32.150000,32.740000
01/14/2026,33.940000,34.940000,33.490000,34.070000
01/15/2026,33.140000,34.410000,33.050000,34.300000
01/16/2026,34.190000,34.560000,33.870000,34.440000
01/20/2026,38.810000,39.670000,37.930000,39.520000
01/21/2026,39.180000,39.360000,37.350000,37.750000
01/22/2026,37.100000,37.570000,36.550000,37.140000
01/23/2026,36.730000,37.590000,36.080000,36.780000
01/26/2026,38.320000,38.470000,36.710000,37.140000
01/27/2026,37.200000,37.830000,36.810000,37.780000
01/28/2026,38.030000,38.940000,37.580000,38.500000
01/29/2026,38.650000,41.530000,37.760000,39.000000
01/30/2026,39.740000,41.550000,38.520000,40.250000
02/02/2026,41.810000,42.120000,39.850000,40.650000
02/03/2026,40.600000,44.770000,40.410000,43.200000
02/04/2026,43.510000,47.640000,43.510000,45.140000
02/05/2026,46.310000,47.570000,44.680000,45.910000
02/06/2026,44.460000,44.460000,41.770000,42.050000
02/09/2026,43.990000,44.170000,41.660000,42.400000
02/10/2026,42.470000,43.330000,41.180000,41.820000
02/11/2026,40.880000,43.760000,40.630000,42.750000
02/12/2026,42.840000,46.730000,42.760000,46.610000
02/13/2026,46.780000,48.030000,44.630000,45.150000
02/17/2026,48.340000,48.900000,46.190000,47.030000
02/18/2026,46.590000,46.590000,43.360000,44.800000
02/19/2026,45.980000,46.180000,44.590000,44.670000
02/20/2026,45.330000,45.350000,42.540000,43.570000
02/23/2026,44.500000,46.050000,43.890000,45.640000
02/24/2026,45.630000,46.200000,44.590000,44.880000
02/25/2026,44.220000,44.220000,43.000000,44.000000
02/26/2026,43.940000,45.260000,42.330000,42.330000
02/27/2026,44.270000,44.500000,42.610000,43.590000
03/02/2026,47.250000,47.250000,43.370000,44.490000
03/03/2026,48.090000,51.250000,45.860000,46.830000
03/04/2026,45.770000,46.020000,43.540000,45.290000
03/05/2026,45.900000,49.850000,44.260000,45.050000
03/06/2026,48.870000,55.270000,47.480000,54.740000
03/09/2026,56.020000,56.020000,47.690000,47.720000
03/10/2026,46.680000,47.980000,44.750000,47.840000
03/11/2026,47.290000,47.590000,45.390000,46.250000
03/12/2026,48.240000,49.220000,46.590000,48.120000
03/13/2026,46.960000,48.140000,44.850000,47.540000
03/16/2026,45.530000,45.820000,43.760000,45.300000
03/17/2026,45.050000,45.070000,41.380000,42.090000
03/18/2026,42.410000,44.290000,41.820000,44.290000
03/19/2026,47.580000,47.860000,42.960000,43.350000
03/20/2026,44.000000,47.720000,43.640000,46.780000
03/23/2026,44.190000,46.310000,41.910000,44.660000
03/24/2026,45.510000,46.520000,43.580000,44.670000
03/25/2026,43.600000,44.170000,42.690000,43.360000
03/26/2026,45.690000,47.360000,45.690000,47.300000
03/27/2026,48.390000,48.710000,46.610000,48.250000
03/30/2026,48.460000,49.740000,47.630000,49.070000
03/31/2026,47.400000,47.400000,44.520000,44.790000
04/01/2026,44.460000,45.370000,43.530000,45.130000
04/02/2026,47.910000,48.130000,44.710000,44.730000
04/06/2026,46.630000,46.630000,44.290000,44.810000
04/07/2026,45.920000,48.040000,45.550000,46.800000
04/08/2026,40.650000,42.840000,39.310000,42.170000
