Trade Date,vix_call_vol,vix_put_vol,vix_call_oi,vix_put_oi,vix_pc_ratio,spx_call_vol,spx_put_vol,spx_call_oi,spx_put_oi,spx_pc_ratio,equity_call_vol,equity_put_vol,equity_call_oi,equity_put_oi,equity_pc_ratio,source,source_ts,complete
2026-05-04,431740,69042,9482402,3779242,0.16,2132003,2740727,8996588,12676141,1.286,2517020.0,1355561.0,234833704.0,148100871.0,0.539,daily_options,,
2026-05-05,322946,152421,9620126,3798241,0.472,1908281,2209451,9120010,12870938,1.158,2663922.0,1507237.0,240115375.0,151748895.0,0.566,daily_options,,
2026-05-06,836554,311991,9713780,3817004,0.373,3658145,2808793,9194225,13043547,0.768,3605679.0,1842473.0,245391084.0,155285220.0,0.511,daily_options,,
2026-05-07,406389,196297,9400424,3848263,0.483,2413439,2919726,9621162,13329925,1.21,3061195.0,1406566.0,250850998.0,158655539.0,0.459,daily_options,,
2026-05-08,378096,135116,9556397,3883904,0.357,2095867,2390258,9659396,13548439,1.14,3695561.0,1954735.0,255580342.0,162264673.0,0.529,daily_options,,
2026-05-11,427526,276881,9731661,3960043,0.648,1917361,2451169,9647821,13487528,1.278,3626937.0,1556972.0,248396552.0,157154945.0,0.429,daily_options,,
2026-05-12,424955,289645,9895350,4032329,0.682,2209693,2663680,9792806,13690776,1.205,2806998.0,1376031.0,254977352.0,161000498.0,0.49,daily_options,,
2026-05-13,484440,143190,10011622,4101801,0.296,2579634,2550777,9822987,13909678,0.989,3345854.0,1657212.0,260516114.0,164458799.0,0.495,daily_options,,
2026-05-14,434530,305141,10002437,4102349,0.702,2901582,2772958,10010797,14102359,0.956,3389958.0,1721036.0,265009128.0,167182184.0,0.508,daily_options,,
2026-05-15,522545,193577,10155887,4185171,0.37,2545563,2935074,10121779,14295946,1.153,3243285.0,1928868.0,270539617.0,170494912.0,0.595,daily_options,,
2026-05-18,1111267,543411,10314071,4242694,0.489,2735856,2920112,9319991,12751240,1.067,2908794.0,1479279.0,228402884.0,144573079.0,0.509,daily_options,,
2026-05-19,1054420,185994,10596911,4265477,0.176,2325623,2865514,9405509,12856006,1.232,2097836.0,1175510.0,234295392.0,148248183.0,0.56,daily_options,,
2026-05-20,1036440,199932,7370176,2603816,0.193,2364377,2373333,9372781,13116316,1.004,2417772.0,1175814.0,239392818.0,151590822.0,0.486,daily_options,,
2026-05-21,362961,182002,8291911,2714891,0.501,2501281,2581593,9423035,13157681,1.032,2507028.0,1219535.0,244282908.0,154518701.0,0.486,daily_options,,
2026-05-22,311855,232548,8471770,2737984,0.746,2152788,2580287,9527860,13271937,1.199,3208894.0,1760464.0,249424802.0,157489007.0,0.549,daily_options,,
2026-05-26,364571,187473,8590775,2872463,0.514,2092970,2515106,9594079,13181015,1.202,2960846.0,1388890.0,241484625.0,152227826.0,0.469,daily_options,,
2026-05-27,242748,67402,8653092,2931396,0.278,1895279,2234041,9560576,13395906,1.179,2817219.0,1212335.0,248040920.0,156161361.0,0.43,daily_options,,
2026-05-28,459602,278669,8007186,2966260,0.606,2033843,2340392,9638441,13513278,1.151,3421157.0,1336066.0,253701089.0,159570739.0,0.391,daily_options,,
2026-05-29,437900,150542,8201309,3061204,0.344,3007951,2661246,9750572,13678590,0.885,4227007.0,1780632.0,260303222.0,162841347.0,0.421,daily_options,,
2026-06-01,346499,178053,8378564,3121568,0.514,2082029,2182933,9970560,13394605,1.048,3429844.0,1511326.0,253904817.0,157956457.0,0.441,daily_options,,
2026-06-02,509394,172916,8503056,3127372,0.339,1924695,2246139,9948385,13497163,1.167,3020358.0,1302545.0,260390976.0,162311221.0,0.431,daily_options,,
2026-06-03,678857,199737,8593294,3203235,0.294,2107719,2576932,10118950,13831631,1.223,3336272.0,1628576.0,265715562.0,165827099.0,0.488,daily_options,,
2026-06-04,370884,305648,8875920,3249886,0.824,2186190,2378686,10228589,14052459,1.088,2827891.0,1236215.0,269500414.0,168770734.0,0.437,daily_options,,
2026-06-05,986244,419950,9132309,3445763,0.426,3353542,4431183,10323982,14210529,1.321,3428564.0,2304832.0,274020299.0,171184517.0,0.672,daily_options,,
2026-06-08,427248,312795,9225657,3508264,0.732,2229097,2986063,10373458,14275495,1.34,2485525.0,1293791.0,265149087.0,166280721.0,0.521,daily_options,,
2026-06-09,704115,257382,9326340,3500081,0.366,3336561,4197606,10470763,14405295,1.258,2822599.0,1761377.0,269791396.0,168663781.0,0.624,daily_options,,
2026-06-10,643927,256380,9485137,3540232,0.398,2449533,3018385,10554996,14717935,1.232,2442124.0,1604187.0,273604165.0,171400795.0,0.657,daily_options,,
2026-06-11,393253,167700,9630704,3607900,0.426,2767231,2929898,10602224,14785725,1.059,2598064.0,1454199.0,277047076.0,173198127.0,0.56,daily_options,,
2026-06-12,523819,350284,9765651,3669470,0.669,2405090,2747842,10819614,15002898,1.143,3242298.0,1760580.0,281414030.0,175073368.0,0.543,daily_options,,
2026-06-15,424317,545019,9946696,3694601,1.284,2381245,2728359,10858519,15012246,1.146,2762048.0,1503990.0,274175220.0,170885646.0,0.545,daily_options,,
2026-06-16,1134736,270464,10147955,3762360,0.238,2143590,2768568,10960217,15134818,1.292,2407406.0,1413390.0,278389707.0,173081054.0,0.587,daily_options,,
2026-06-17,479587,152911,10699796,3753236,0.319,2283588,2927088,11088864,15436110,1.282,3248042.0,1920726.0,282978988.0,176321049.0,0.591,daily_options,,
2026-06-18,382042,77024,7404501,2409258,0.202,2212435,2927800,11332158,15737631,1.323,3510642.0,2051457.0,286522433.0,177916899.0,0.584,daily_options,,
2026-06-22,379680,85509,7656183,2439412,0.225,2208967,2687571,8766320,12101066,1.217,2837408.0,1697450.0,227147324.0,140036771.0,0.598,daily_options,,
2026-06-23,468549,192518,7922082,2474198,0.411,2350288,2780575,8861758,12267280,1.183,2312156.0,1284004.0,233806740.0,143788387.0,0.555,daily_options,,
2026-06-24,290550,237972,7986583,2606823,0.819,2479482,2964831,8983488,12429093,1.196,2481023.0,1512219.0,238750650.0,146911477.0,0.61,daily_options,,
2026-06-25,243635,138881,7951652,2677119,0.57,2373401,2907469,9122494,12571562,1.225,2451946.0,1632370.0,243247519.0,150126703.0,0.666,daily_options,,
2026-06-26,184297,135336,7995576,2744763,0.734,2359036,2867075,9243864,12743742,1.215,2851255.0,2416366.0,248287703.0,152944762.0,0.847,daily_options,,
2026-06-29,232943,325697,8029237,2813841,1.398,2228679,2587126,9310432,12632154,1.161,2880260.0,1693735.0,241501889.0,149588380.0,0.588,daily_options,,
2026-06-30,414630,251955,8137631,2999360,0.608,2333492,2548801,9455203,12794820,1.092,2337620.0,1491391.0,247885289.0,153466768.0,0.638,daily_options,,
2026-07-01,381536,124440,8299519,3081656,0.326,2263364,2311503,9316972,12491357,1.021,2832120.0,1949199.0,252789813.0,156308110.0,0.688,daily_options,,
2026-07-02,571155,216094,8430825,2966600,0.378,2800075,2997087,9421208,12580544,1.07,3654873.0,1937643.0,257105218.0,158835218.0,0.53,daily_options,,
2026-07-06,472404,202042,8488149,3040979,0.428,2021381,2284703,9440330,12617271,1.13,2630754.0,1634657.0,251579715.0,155861247.0,0.621,daily_options,,
2026-07-07,607791,127764,8569443,3147505,0.21,2126005,2634893,9478776,12624548,1.239,2091339.0,1433974.0,256413371.0,158915294.0,0.686,daily_options,,
2026-07-08,534355,271784,8880636,3164366,0.509,2270448,2544336,9497768,12899538,1.121,2168422.0,1867507.0,260877305.0,162504231.0,0.861,daily_options,,
2026-07-09,384679,197036,8977982,3274175,0.512,2146854,2315888,9602542,12988218,1.079,2408403.0,1371710.0,263623664.0,164392089.0,0.57,daily_options,,
2026-07-10,539718,238414,9178334,3390452,0.442,2186130,2453782,9710236,13051193,1.122,3027527.0,1673293.0,267650814.0,166882390.0,0.553,daily_options,,
2026-07-13,502779,247364,9389609,3441160,0.492,2082338,2567921,9746948,12980251,1.233,3037257.0,2048756.0,260706478.0,162158375.0,0.675,daily_options,,
2026-07-14,486219,154734,9588201,3618692,0.318,2006282,2375890,9754642,13110924,1.184,2419739.0,1503515.0,265163363.0,165587951.0,0.621,daily_options,,
