Trade Date,spx_close,spx_tac_put_vol,spx_tac_put_vol_chg_pct,spx_tac_put_vol_pct,spx_tac_put_oi,spx_tac_put_oi_chg,spx_tac_put_oi_chg_pct,spx_tac_put_vol_oi_ratio,spx_vix_put_vol,spx_vix_put_vol_chg_pct,spx_vix_put_vol_pct,spx_vix_put_oi,spx_vix_put_oi_chg,spx_vix_put_oi_chg_pct,spx_vix_put_vol_oi_ratio,tac_vix_put_oi,tac_vix_put_oi_chg_pct,flow_risk_off_level
2026-07-20,7443.2798,80869,,,801724,,,0.101,51330,,,908587,,,0.056,1710311,,GREEN
2026-07-21,7509.2002,88483,9.4,,741370,-60354.0,-7.5,0.119,45855,-10.7,,910737,2150.0,0.2,0.05,1652107,-3.4,GREEN
2026-07-22,7498.96,79752,-9.9,,643945,-97425.0,-13.1,0.124,50182,9.4,,1092673,181936.0,20.0,0.046,1736618,5.1,GREEN
2026-07-23,7408.2998,139170,74.5,,809143,165198.0,25.7,0.172,35278,-29.7,,889246,-203427.0,-18.6,0.04,1698389,-2.2,GREEN
2026-07-24,7411.98,251431,80.7,,885725,76582.0,9.5,0.284,26641,-24.5,,905457,16211.0,1.8,0.029,1791182,5.5,GREEN
2026-07-27,7413.1802,80400,-68.0,,862288,-23437.0,-2.6,0.093,32772,23.0,,994910,89453.0,9.9,0.033,1857198,3.7,GREEN
2026-07-28,7428.7798,91566,13.9,,884696,22408.0,2.6,0.103,29504,-10.0,,1029492,34582.0,3.5,0.029,1914188,3.1,GREEN
2026-07-29,7316.1499,91913,0.4,,463466,-421230.0,-47.6,0.198,50956,72.7,,1091764,62272.0,6.0,0.047,1555230,-18.8,GREEN
2026-07-30,7437.6299,184788,101.0,,1352033,888567.0,191.7,0.137,14602,-71.3,,398376,-693388.0,-63.5,0.037,1750409,12.5,GREEN
2026-07-31,7489.7202,345017,86.7,,1494570,142537.0,10.5,0.231,50597,246.5,,410960,12584.0,3.2,0.123,1905530,8.9,GREEN
2026-08-03,7600.5,198521,-42.5,,1401022,-93548.0,-6.3,0.142,58336,15.3,,395253,-15707.0,-3.8,0.148,1796275,-5.7,GREEN
2026-08-04,7736.52,274440,38.2,,1425730,24708.0,1.8,0.192,70790,21.3,,361703,-33550.0,-8.5,0.196,1787433,-0.5,GREEN
2026-08-05,7723.5498,176207,-35.8,,1424084,-1646.0,-0.1,0.124,68970,-2.6,,382727,21024.0,5.8,0.18,1806811,1.1,GREEN
2026-08-06,7709.96,154201,-12.5,,1501070,76986.0,5.4,0.103,18064,-73.8,,255055,-127672.0,-33.4,0.071,1756125,-2.8,GREEN
2026-08-07,7757.6401,188028,21.9,,1386070,-115000.0,-7.7,0.136,28127,55.7,,277130,22075.0,8.7,0.101,1663200,-5.3,GREEN
2026-08-10,7753.1401,139036,-26.1,,1542816,156746.0,11.3,0.09,45059,60.2,,112545,-164585.0,-59.4,0.4,1655361,-0.5,GREEN
2026-08-11,7728.2002,111259,-20.0,,1512296,-30520.0,-2.0,0.074,11223,-75.1,,133187,20642.0,18.3,0.084,1645483,-0.6,GREEN
2026-08-12,7748.5,135892,22.1,,1592612,80316.0,5.3,0.085,81417,625.4,,1473235,1340048.0,1006.1,0.055,3065847,86.3,GREEN
