,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP)
0,AAPL,2026-01-08,34.73,9.20
1,MSFT,2026-01-08,34.01,12.09
2,GOOG,2026-01-08,32.16,10.20
3,AMZN,2026-01-08,34.79,3.81
4,META,2026-01-08,28.55,8.60
5,TSLA,2026-01-08,291.19,15.16
6,UI,2026-01-08,41.99,12.05
7,SE,2026-01-08,57.37,3.48
8,CPNG,2026-01-08,106.25,1.22
9,UBER,2026-01-08,11.24,3.67
10,DASH,2026-01-08,113.69,7.64
11,CART,2026-01-08,23.63,3.11
12,SHOP,2026-01-08,123.24,20.48
13,EBAY,2026-01-08,19.78,3.81
14,ETSY,2026-01-08,42.81,2.12
15,NFLX,2026-01-08,37.82,9.55
16,DIS,2026-01-08,16.66,2.16
17,SPOT,2026-01-08,86.39,6.10
18,RBLX,2026-01-08,NA,11.62
19,RDDT,2026-01-08,139.87,25.27
20,PINS,2026-01-08,9.29,4.46
21,SNAP,2026-01-08,NA,2.50
22,MTCH,2026-01-08,15.20,2.22
23,APP,2026-01-08,77.70,37.74
24,TTD,2026-01-08,42.56,6.46
25,ROKU,2026-01-08,NA,3.54
26,U,2026-01-08,NA,10.74
27,DUOL,2026-01-08,22.11,8.32
28,COUR,2026-01-08,NA,1.66
29,RKT,2026-01-08,267.51,10.97
30,Z,2026-01-08,NA,6.80
31,IOT,2026-01-08,NA,12.83
32,PANW,2026-01-08,121.02,13.92
33,CRWD,2026-01-08,NA,25.62
34,FTNT,2026-01-08,32.14,8.85
35,ZS,2026-01-08,NA,12.40
36,NET,2026-01-08,NA,32.53
37,CYBR,2026-01-08,NA,17.86
38,OKTA,2026-01-08,86.24,5.86
39,RBRK,2026-01-08,NA,11.99
40,CVLT,2026-01-08,69.94,5.00
41,NTNX,2026-01-08,70.92,5.49
42,SNOW,2026-01-08,NA,17.46
43,MDB,2026-01-08,NA,14.53
44,DDOG,2026-01-08,442.68,14.27
45,DT,2026-01-08,25.67,6.96
46,GTLB,2026-01-08,NA,6.61
47,FROG,2026-01-08,NA,14.14
48,DBX,2026-01-08,15.56,2.72
49,WULF,2026-01-08,NA,32.08
50,CIFT,2026-01-08,NA,NA
51,GOOG,2026-01-08,32.16,10.20
52,AVGO,2026-01-08,69.84,24.67
53,TSM,2026-01-08,32.59,14.25
54,TTMI,2026-01-08,53.29,2.48
55,FLEX,2026-01-08,26.65,0.85
56,CLS,2026-01-08,46.84,2.94
57,MRVL,2026-01-08,29.22,9.08
58,APH,2026-01-08,45.42,7.95
59,LITE,2026-01-08,232.81,13.41
60,ADI,2026-01-08,65.47,13.29
61,FN,2026-01-08,45.66,4.42
62,VICR,2026-01-08,74.56,15.32
63,NOK,2026-01-08,37.09,1.66
64,ORCL,2026-01-08,35.64,8.93
65,CRWV,2026-01-08,NA,8.92
66,NBIS,2026-01-08,NA,71.14
67,IREN,2026-01-08,23.29,21.83
