sector	ticker	date	TTM P/E (GAAP)	TTM P/S (GAAP)
TMT - mag7	AAPL	2026-01-09	34.77	9.21
TMT - mag7	MSFT	2026-01-09	34.10	12.12
TMT - mag7	GOOG	2026-01-09	32.47	10.29
TMT - mag7	AMZN	2026-01-09	34.95	3.83
TMT - mag7	META	2026-01-09	28.86	8.69
TMT - mag7	TSLA	2026-01-09	297.35	15.48
TMT - e-commerce	UI	2026-01-09	42.81	12.29
TMT - e-commerce	SE	2026-01-09	57.10	3.47
TMT - e-commerce	CPNG	2026-01-09	107.62	1.23
TMT - consumer discretionary	UBER	2026-01-09	10.96	3.58
TMT - consumer discretionary	DASH	2026-01-09	109.36	7.35
TMT - consumer discretionary	CART	2026-01-09	22.61	2.98
TMT - consumer discretionary	SHOP	2026-01-09	120.45	20.02
TMT - consumer discretionary	EBAY	2026-01-09	19.78	3.81
TMT - consumer discretionary	ETSY	2026-01-09	43.26	2.14
TMT - consumer discretionary	NFLX	2026-01-09	37.37	9.43
TMT - consumer discretionary	DIS	2026-01-09	16.91	2.20
TMT - consumer discretionary	SPOT	2026-01-09	84.16	5.94
TMT - consumer discretionary	RBLX	2026-01-09	NA	11.52
TMT - consumer discretionary	RDDT	2026-01-09	134.70	24.33
TMT - consumer discretionary	PINS	2026-01-09	9.40	4.52
TMT - consumer discretionary	SNAP	2026-01-09	NA	2.45
TMT - consumer discretionary	MTCH	2026-01-09	15.00	2.19
TMT - consumer discretionary	APP	2026-01-09	81.63	39.65
TMT - consumer discretionary	TTD	2026-01-09	42.54	6.46
TMT - consumer discretionary	ROKU	2026-01-09	NA	3.62
TMT - consumer discretionary	U	2026-01-09	NA	10.60
TMT - consumer discretionary	DUOL	2026-01-09	22.46	8.45
TMT - consumer discretionary	COUR	2026-01-09	NA	1.65
TMT - consumer discretionary	RKT	2026-01-09	293.32	12.03
TMT - consumer discretionary	Z	2026-01-09	NA	6.67
TMT - consumer discretionary	IOT	2026-01-09	NA	12.78
TMT - cybersecurity	PANW	2026-01-09	119.89	13.79
TMT - cybersecurity	CRWD	2026-01-09	NA	25.99
TMT - cybersecurity	FTNT	2026-01-09	32.62	8.99
TMT - cybersecurity	ZS	2026-01-09	NA	12.20
TMT - cybersecurity	NET	2026-01-09	NA	31.80
TMT - cybersecurity	CYBR	2026-01-09	NA	17.70
TMT - cybersecurity	OKTA	2026-01-09	84.68	5.76
TMT - cybersecurity	RBRK	2026-01-09	NA	11.80
TMT - cybersecurity	CVLT	2026-01-09	69.95	5.00
TMT - cybersecurity	NTNX	2026-01-09	71.45	5.53
TMT - cybersecurity	SNOW	2026-01-09	NA	17.09
TMT - cybersecurity	MDB	2026-01-09	NA	14.34
TMT - cybersecurity	DDOG	2026-01-09	425.10	13.70
TMT - cybersecurity	DT	2026-01-09	25.36	6.88
TMT - devops	GTLB	2026-01-09	NA	6.58
TMT - devops	FROG	2026-01-09	NA	13.95
TMT - devops	DBX	2026-01-09	15.46	2.70
TPU	WULF	2026-01-09	NA	32.73
TPU	CIFT	2026-01-09	NA	NA
TPU	GOOG	2026-01-09	32.47	10.29
TPU	AVGO	2026-01-09	72.46	25.60
TPU	TSM	2026-01-09	33.17	14.50
TPU	TTMI	2026-01-09	58.88	2.74
TPU	FLEX	2026-01-09	27.14	0.86
TPU	CLS	2026-01-09	49.06	3.08
TPU	MRVL	2026-01-09	29.14	9.06
TPU	APH	2026-01-09	46.72	8.18
TPU	LITE	2026-01-09	234.92	13.53
TPU	ADI	2026-01-09	65.86	13.37
TPU	FN	2026-01-09	46.10	4.46
TPU	VICR	2026-01-09	77.96	16.02
data center	NOK	2026-01-09	37.03	1.66
data center - hyper scaler	ORCL	2026-01-09	37.31	9.35
data center - hyper scaler	CRWV	2026-01-09	NA	9.27
data center - hyper scaler	NBIS	2026-01-09	NA	71.60
data center - hyper scaler	IREN	2026-01-09	23.47	22.00
data center - hyper scaler	CIFR	2026-01-09	NA	31.83
data center - semi	NVDA	2026-01-09	45.79	24.00
data center - semi	MU	2026-01-09	32.80	9.18
data center - semi	AVGO	2026-01-09	72.46	25.60
data center - semi	AMD	2026-01-09	100.41	10.33
data center - package	TSM	2026-01-09	33.17	14.50
data center - package	ASX	2026-01-09	35.12	1.92
data center - package	AMKR	2026-01-09	42.14	2.00
data center - test	TER	2026-01-09	79.07	11.90
data center - router	ANET	2026-01-09	46.77	18.32
data center - router	MRVL	2026-01-09	29.14	9.06
data center - optics	CRDO	2026-01-09	131.30	34.13
data center - optics	MTSI	2026-01-09	NA	13.55
data center - optics	SMTC	2026-01-09	255.72	7.01
data center - optics	COHR	2026-01-09	256.61	4.63
data center - optics	CIEN	2026-01-09	271.44	6.81
data center - optics	CSCO	2026-01-09	27.86	5.06
data center - optics	GLW	2026-01-09	54.05	4.90
data center - NAND/SSD	STX	2026-01-09	39.02	6.79
data center - NAND/SSD	WDC	2026-01-09	29.23	5.71
data center - NAND/SSD	SNDK	2026-01-09	NA	7.11
data center - semi equip	ASML	2026-01-09	47.70	13.89
data center - semi equip	LRCX	2026-01-09	48.12	14.00
data center - semi equip	KLAC	2026-01-09	43.95	14.69
data center - server	DELL	2026-01-09	16.09	0.77
data center - server	SMCI	2026-01-09	24.17	0.86
data center - PDU	MPWR	2026-01-09	24.49	17.26
data center - PDU	NVT	2026-01-09	29.03	4.75
data center - PDU	VRT	2026-01-09	61.66	6.45
data center - PDU	ETN	2026-01-09	32.45	4.73
data center - onsite power generator	CAT	2026-01-09	31.69	4.47
