sector	ticker	date	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
crypto	MSTR	2026-01-16	8.04	104.59	11.0%	-909.0%	-152.0%	-878.0%
crypto	BMNR	2026-01-16	NA	1944.95	91.0%	545920.0%	26333.0%	131984.0%
crypto	CRCL	2026-01-16	NA	NA	72.0%	193.0%	51.0%	
crypto	DJT	2026-01-16	NA	1033.86	-4.0%	184.0%	72.0%	185.0%
								
space	RKLB	2026-01-16	NA	93.13	48.0%	16.0%	7.0%	-65.0%
space	LUNR	2026-01-16	NA	17.60	-10.0%	-88.0%	32.0%	-87.0%
space	DXYZ	2026-01-16	17.41	NA	-5512.0%	-297.0%	N/A	-297.0%
								
misc	TEM	2026-01-16	NA	11.34	85.0%	10.0%	-26.0%	5.0%
								
TMT - mag7	AAPL	2026-01-16	34.27	9.03	8.0%	11.0%	9.0%	86.0%
TMT - mag7	MSFT	2026-01-16	32.79	11.66	18.0%	13.0%	34.0%	12.0%
TMT - mag7	GOOG	2026-01-16	32.56	10.33	16.0%	39.0%	25.0%	33.0%
TMT - mag7	AMZN	2026-01-16	33.69	3.69	13.0%	56.0%	19.0%	38.0%
TMT - mag7	META	2026-01-16	27.49	8.28	26.0%	22.0%	19.0%	-83.0%
								
TMT - tsla	TSLA	2026-01-16	293.66	15.28	12.0%	-30.0%	-15.0%	-37.0%
								
TMT - e-commerce	UI	2026-01-16	42.09	12.08	33.0%	63.0%	52.0%	62.0%
TMT - e-commerce	SE	2026-01-16	51.99	3.16	38.0%	118.0%	112.0%	150.0%
TMT - e-commerce	CPNG	2026-01-16	100.12	1.15	18.0%	25.0%	29.0%	36.0%
								
								
TMT - cons disc	UBER	2026-01-16	10.84	3.54	20.0%	-5.0%	43.0%	154.0%
TMT - cons disc	DASH	2026-01-16	104.49	7.03	27.0%	60.0%	82.0%	51.0%
TMT - cons disc	CART	2026-01-16	21.57	2.84	10.0%	18.0%	24.0%	20.0%
TMT - cons disc	SHOP	2026-01-16	114.21	18.98	32.0%	-64.0%	43.0%	-68.0%
TMT - cons disc	EBAY	2026-01-16	20.21	3.89	11.0%	-28.0%	-9.0%	0.0%
TMT - cons disc	ETSY	2026-01-16	42.88	2.12	2.0%	25.0%	-6.0%	32.0%
TMT - cons disc	NFLX	2026-01-16	36.80	9.29	19.0%	15.0%	12.0%	8.0%
TMT - cons disc	DIS	2026-01-16	16.24	2.11	0.0%	116.0%	3.0%	185.0%
TMT - cons disc	SPOT	2026-01-16	78.55	5.55	14.0%	121.0%	33.0%	219.0%
TMT - cons disc	RBLX	2026-01-16	NA	13.81	48.0%	7.0%	15.0%	7.0%
TMT - cons disc	RDDT	2026-01-16	127.50	23.03	68.0%	438.0%	1216.0%	445.0%
TMT - cons disc	PINS	2026-01-16	8.96	4.31	17.0%	193.0%	-13512.0%	201.0%
TMT - cons disc	SNAP	2026-01-16	NA	2.25	10.0%	-29.0%	-36.0%	-32.0%
TMT - cons disc	MTCH	2026-01-16	14.54	2.13	2.0%	9.0%	-12.0%	18.0%
TMT - cons disc	APP	2026-01-16	71.03	34.50	17.0%	118.0%	76.0%	92.0%
TMT - cons disc	TTD	2026-01-16	40.26	6.11	18.0%	41.0%	50.0%	23.0%
TMT - cons disc	ROKU	2026-01-16	NA	3.37	14.0%	-879.0%	50.0%	-375.0%
TMT - cons disc	U	2026-01-16	NA	9.66	5.0%	0.0%	-232.0%	1.0%
TMT - cons disc	DUOL	2026-01-16	19.19	7.22	41.0%	83.0%	155.0%	1151.0%
TMT - cons disc	COUR	2026-01-16	NA	1.43	10.0%	-36.0%	-47.0%	-37.0%
TMT - cons disc	RKT	2026-01-16	289.48	11.87	39.0%	-63.0%	N/A	463.0%
TMT - cons disc	Z	2026-01-16	NA	6.66	16.0%	-160.0%	185.0%	-150.0%
TMT - cons disc	IOT	2026-01-16	NA	13.24	29.0%	-124.0%	-653.0%	-121.0%
								
TMT - cybersecurity	PANW	2026-01-16	119.49	13.74	16.0%	12.0%	-5.0%	-5.0%
