sector,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-01-20,7.45,96.94,11.0%,-909.0%,-152.0%,-878.0%
crypto,BMNR,2026-01-20,NA,1786.55,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-01-20,NA,NA,72.0%,193.0%,51.0%,
crypto,DJT,2026-01-20,NA,1045.13,-4.0%,184.0%,72.0%,185.0%
,,,,,,,,
misc,TEM,2026-01-20,NA,10.75,85.0%,10.0%,-26.0%,5.0%
,,,,,,,,
TMT - mag7,AAPL,2026-01-20,33.07,8.71,8.0%,11.0%,9.0%,86.0%
TMT - mag7,MSFT,2026-01-20,32.34,11.50,18.0%,13.0%,34.0%,12.0%
TMT - mag7,GOOG,2026-01-20,31.78,10.08,16.0%,39.0%,25.0%,33.0%
TMT - mag7,AMZN,2026-01-20,32.63,3.57,13.0%,56.0%,19.0%,38.0%
TMT - mag7,META,2026-01-20,26.69,8.04,26.0%,22.0%,19.0%,-83.0%
,,,,,,,,
TMT - tsla,TSLA,2026-01-20,280.13,14.58,12.0%,-30.0%,-15.0%,-37.0%
,,,,,,,,
TMT - e-commerce,UI,2026-01-20,43.05,12.35,33.0%,63.0%,52.0%,62.0%
,,,,,,,,
,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-01-20,10.74,3.51,20.0%,-5.0%,43.0%,154.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-01-20,104.34,7.02,27.0%,60.0%,82.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-01-20,21.17,2.79,10.0%,18.0%,24.0%,20.0%
,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-01-20,105.82,17.59,32.0%,-64.0%,43.0%,-68.0%
TMT - cons disc - E-comm,EBAY,2026-01-20,19.74,3.80,11.0%,-28.0%,-9.0%,0.0%
TMT - cons disc - E-comm,ETSY,2026-01-20,41.20,2.04,2.0%,25.0%,-6.0%,32.0%
TMT - cons disc - E-comm,SE,2026-01-20,51.84,3.15,38.0%,118.0%,112.0%,150.0%
TMT - cons disc - E-comm,CPNG,2026-01-20,96.92,1.11,18.0%,25.0%,29.0%,36.0%
,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-01-20,36.45,9.20,19.0%,15.0%,12.0%,8.0%
