sector	ticker	date	TTM EV/EBITDA	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
crypto	MSTR	2026-02-14	NA	NA	80.61	2.0%	1601.0%		1781.0%
crypto	BMNR	2026-02-14	NA	NA	1326.00	91.0%	545920.0%	26333.0%	131984.0%
crypto	CRCL	2026-02-14	NA	NA	5.86	66.0%	78.0%	30.0%	
crypto	DJT	2026-02-14	NA	NA	824.99	-4.0%	184.0%	72.0%	185.0%
									
misc	TEM	2026-02-14	NA	NA	8.36	85.0%	10.0%	-26.0%	5.0%
									
TMT - mag7	AAPL	2026-02-14	24.71	32.36	8.62	16.0%	20.0%	18.0%	16.0%
TMT - mag7	MSFT	2026-02-14	16.31	25.11	9.76	17.0%	64.0%	23.0%	60.0%
TMT - mag7	GOOG	2026-02-14	23.65	28.32	9.18	18.0%	21.0%	20.0%	30.0%
TMT - mag7	AMZN	2026-02-14	14.48	27.72	2.98	14.0%	19.0%	23.0%	6.0%
TMT - mag7	META	2026-02-14	15.91	27.23	8.05	24.0%	8.0%	8.0%	9.0%
									
TMT - tsla	TSLA	2026-02-14	139.80	387.96	16.52	-3.0%	-57.0%	4.0%	-64.0%
									
TMT - e-commerce	UI	2026-02-14	40.79	49.07	14.66	36.0%	74.0%	62.0%	71.0%
									
									
TMT - cons disc - Mobility/Delivery	UBER	2026-02-14	21.72	14.82	2.80	20.0%	-68.0%	44.0%	-96.0%
TMT - cons disc - Mobility/Delivery	DASH	2026-02-14	46.55	81.35	5.47	27.0%	60.0%	82.0%	51.0%
TMT - cons disc - Mobility/Delivery	CART	2026-02-14	11.34	19.94	2.62	10.0%	18.0%	24.0%	20.0%
									
TMT - cons disc - E-comm	SHOP	2026-02-14	73.55	120.33	12.72	31.0%	-37.0%	36.0%	-43.0%
TMT - cons disc - E-comm	EBAY	2026-02-14	15.21	17.93	3.45	11.0%	-28.0%	-9.0%	0.0%
TMT - cons disc - E-comm	ETSY	2026-02-14	11.72	31.97	1.58	2.0%	25.0%	-6.0%	32.0%
TMT - cons disc - E-comm	SE	2026-02-14	26.10	45.65	2.77	38.0%	118.0%	112.0%	150.0%
TMT - cons disc - E-comm	CPNG	2026-02-14	24.48	80.36	0.92	18.0%	25.0%	29.0%	36.0%
									
TMT - cons disc - entertain	NFLX	2026-02-14	11.02	30.42	7.17	19.0%	30.0%	22.0%	29.0%
TMT - cons disc - entertain	DIS	2026-02-14	12.35	15.54	1.95	6.0%	1.0%	0.0%	-6.0%
TMT - cons disc - entertain	SPOT	2026-02-14	32.80	47.50	4.86	17.0%	123.0%	56.0%	249.0%
									
TMT - cons disc - social	RBLX	2026-02-14	NA	NA	9.15	43.0%	45.0%	53.0%	44.0%
TMT - cons disc - social	RDDT	2026-02-14	52.90	52.47	12.11	70.0%	264.0%	314.0%	254.0%
TMT - cons disc - social	PINS	2026-02-14	23.80	25.25	2.47	14.0%	18.0%	15.0%	-85.0%
TMT - cons disc - social	SNAP	2026-02-14	NA	NA	1.38	10.0%	166.0%	633.0%	397.0%
TMT - cons disc - social	MTCH	2026-02-14	10.37	12.78	2.06	2.0%	29.0%	20.0%	32.0%
									
TMT - cons disc - adtech	APP	2026-02-14	30.34	41.35	22.73	21.0%	143.0%	74.0%	84.0%
TMT - cons disc - adtech	TTD	2026-02-14	17.95	29.45	4.47	18.0%	41.0%	50.0%	23.0%
TMT - cons disc - adtech	ROKU	2026-02-14	35.49	156.71	2.81	16.0%	-455.0%	78.0%	-326.0%
TMT - cons disc - adtech	U	2026-02-14	895.61	NA	4.37	10.0%	-19.0%	-34140.0%	-27.0%
									
TMT - cons disc - edu	DUOL	2026-02-14	33.18	14.31	5.39	41.0%	83.0%	155.0%	1151.0%
TMT - cons disc - edu	COUR	2026-02-14	NA	NA	1.31	10.0%	4.0%	61.0%	24.0%
									
TMT - cons disc - realestate	RKT	2026-02-14	65.08	235.26	9.65	39.0%	-63.0%	N/A	463.0%
TMT - cons disc - realestate	Z	2026-02-14	37.04	482.24	4.07	18.0%	-106.0%		-106.0%
									
TMT - cons disc - misc	IOT	2026-02-14	200.58	NA	10.37	29.0%	-124.0%	-653.0%	-121.0%
									
TMT - cybersecurity	PANW	2026-02-14	66.35	105.89	14.12	16.0%	12.0%	-5.0%	-5.0%
TMT - cybersecurity	CRWD	2026-02-14	54359.93	NA	23.73	22.0%	121.0%	2.0%	102.0%
TMT - cybersecurity	FTNT	2026-02-14	23.82	35.26	9.36	15.0%	5.0%	64.0%	-4.0%
TMT - cybersecurity	ZS	2026-02-14	1636.44	NA	10.00	26.0%	90.0%	-240.0%	-4.0%
TMT - cybersecurity	NET	2026-02-14	738.98	NA	31.60	34.0%	-3.0%	52.0%	-6.0%
TMT - cybersecurity	CYBR	2026-02-14	846.57	NA	15.16	19.0%	-78.0%	-25.0%	-82.0%
TMT - cybersecurity	OKTA	2026-02-14	61.58	80.11	5.45	12.0%	100.0%	683.0%	169.0%
TMT - cybersecurity	RBRK	2026-02-14	NA	NA	9.12	48.0%	-53.0%	-44.0%	-51.0%
TMT - cybersecurity	CVLT	2026-02-14	34.19	45.41	3.36	19.0%	79.0%	56.0%	61.0%
TMT - cybersecurity	NTNX	2026-02-14	38.00	55.76	4.31	13.0%	78.0%	29.0%	107.0%
									
TMT - Data/Infra/Observability	SNOW	2026-02-14	NA	NA	14.22	29.0%	-12.0%	-15.0%	-9.0%
TMT - Data/Infra/Observability	MDB	2026-02-14	NA	NA	12.94	19.0%	-119.0%	-58.0%	-79.0%
TMT - Data/Infra/Observability	DDOG	2026-02-14	525.70	422.69	12.91	29.0%	-1.0%	14.0%	2.0%
TMT - Data/Infra/Observability	DT	2026-02-14	36.27	61.29	5.74	18.0%	48.0%	29.0%	-89.0%
									
TMT - devops	GTLB	2026-02-14	NA	NA	5.49	25.0%	-37.0%	-72.0%	-128.0%
TMT - devops	FROG	2026-02-14	NA	NA	11.50	25.0%	-27.0%	-15.0%	-34.0%
TMT - devops	DBX	2026-02-14	10.91	13.90	2.43	-1.0%	18.0%	31.0%	16.0%
									
data center	NOK	2026-02-14	12.48	53.58	1.74	12.0%	-31.0%	-2.0%	-27.0%
									
data center - hyper scaler	ORCL	2026-02-14	21.51	30.10	7.54	14.0%	86.0%	25.0%	95.0%
data center - hyper scaler	CRWV	2026-02-14	30.78	NA	11.62	134.0%	-26.0%	84.0%	-72.0%
data center - hyper scaler	NBIS	2026-02-14	NA	NA	46.20	501.0%	72.0%	-53.0%	83.0%
data center - hyper scaler	IREN	2026-02-14	116.06	48.37	28.74	60.0%	-1655.0%	-66.0%	-929.0%
data center - hyper scaler	WULF	2026-02-14	NA	NA	40.62	87.0%	2170.0%	-3378.0%	1876.0%
data center - hyper scaler	CIFR	2026-02-14	169.85	NA	31.42	198.0%	-96.0%	-260.0%	-96.0%
									
data center - semi chip	NVDA	2026-02-14	38.98	45.28	23.74	62.0%	70.0%	65.0%	65.0%
data center - semi chip	MU	2026-02-14	20.72	39.13	10.95	57.0%	182.0%	97.0%	180.0%
data center - semi chip	AVGO	2026-02-14	45.58	68.30	24.13	28.0%	83.0%	30.0%	97.0%
data center - semi chip	AMD	2026-02-14	49.45	78.39	9.76	34.0%	133.0%	33.0%	213.0%
									
data center - semi equip	ASML	2026-02-14	38.22	50.34	14.75	14.0%	12.0%	12.0%	15.0%
data center - semi equip	LRCX	2026-02-14	39.82	48.27	14.31	22.0%	36.0%	34.0%	34.0%
data center - semi equip	AMAT	2026-02-14	31.62	36.34	9.98	-2.0%	10.0%	-2.0%	71.0%
data center - semi equip	KLAC	2026-02-14	33.19	42.53	15.07	7.0%	37.0%	4.0%	39.0%
									
data center - semi equip for test	TER	2026-02-14	59.99	90.38	15.45	44.0%	84.0%	81.0%	76.0%
data center - semi equip for test	COHU	2026-02-14	NA	NA	3.15	30.0%	-29.0%	-62.0%	5.0%
data center - semi equip for test	KLIC	2026-02-14	NA	NA	5.45	20.0%	-76.0%	52.0%	-79.0%
									
data center - package	TSM	2026-02-14	21.75	34.36	15.51	25.0%	38.0%	27.0%	41.0%
data center - package	ASX	2026-02-14	15.07	39.83	2.47	14.0%	63.0%	39.0%	63.0%
data center - package	AMKR	2026-02-14	10.19	31.55	1.75	16.0%	34.0%	24.0%	63.0%
									
data center - PCB	TTMI	2026-02-14	24.11	54.47	3.26	19.0%	333.0%	36.0%	880.0%
									
data center - rack manufacture	CLS	2026-02-14	25.97	39.10	2.61	44.0%	59.0%	53.0%	76.0%
data center - rack manufacture	FLEX	2026-02-14	13.12	28.76	0.88	8.0%	11.0%	-1.0%	-9.0%
									
data center - router	ANET	2026-02-14	42.65	51.42	19.80	29.0%	28.0%	30.0%	19.0%
data center - router	MRVL	2026-02-14	28.17	27.53	8.55	37.0%	-395.0%	-22877.0%	-381.0%
									
data center - optics	CRDO	2026-02-14	93.90	106.01	27.55	272.0%	-2230.0%	-2601.0%	-2058.0%
data center - optics	MTSI	2026-02-14	83.06	114.79	17.94	25.0%	-129.0%	44.0%	-129.0%
data center - optics	SMTC	2026-02-14	48.63	286.37	7.85	13.0%	-225.0%	45.0%	-62.0%
data center - optics	LITE	2026-02-14	163.12	172.07	19.09	65.0%	-328.0%	818.0%	-228.0%
data center - optics	COHR	2026-02-14	34.83	214.99	6.47	17.0%	31.0%	21.0%	104.0%
data center - optics	FN	2026-02-14	38.29	47.52	4.56	36.0%	26.0%	52.0%	30.0%
data center - optics	CIEN	2026-02-14	96.01	357.81	9.01	26.0%	-96.0%	35.0%	-56.0%
data center - optics	CSCO	2026-02-14	19.16	27.00	5.14	10.0%	26.0%	18.0%	31.0%
data center - optics	ADI	2026-02-14	33.97	73.77	14.95	26.0%	72.0%	32.0%	65.0%
data center - optics	TXN	2026-02-14	26.43	41.53	11.61	10.0%	1.0%	14.0%	-4.0%
data center - optics	APH	2026-02-14	26.85	43.94	7.81	49.0%	81.0%	82.0%	60.0%
data center - optics	TEL	2026-02-14	16.20	34.06	3.83	22.0%	36.0%	34.0%	42.0%
data center - optics	GLW	2026-02-14	32.90	72.58	7.33	20.0%	55.0%	48.0%	74.0%
									
data center - NAND/SSD	STX	2026-02-14	34.04	48.17	9.24	22.0%	102.0%	66.0%	76.0%
data center - NAND/SSD	WDC	2026-02-14	28.61	28.27	8.89	-30.0%	165.0%	18.0%	209.0%
data center - NAND/SSD	SNDK	2026-02-14	64.47	NA	10.35	61.0%	442.0%	404.0%	672.0%
									
data center - server	DELL	2026-02-14	9.18	15.67	0.75	11.0%	39.0%	15.0%	37.0%
data center - server	SMCI	2026-02-14	17.32	22.68	0.65	123.0%	33.0%	30.0%	25.0%
									
data center - 板级DC-DC(48VDC->6VDC->VRM->1VDC for GPU/CPU)	MPWR	2026-02-14	74.14	91.93	20.11	21.0%	24.0%		-88.0%
data center - 板级DC-DC(48VDC->6VDC->VRM->1VDC for GPU/CPU)	VICR	2026-02-14	130.70	85.43	17.56	19.0%	156.0%	158.0%	145.0%
									
data center - 服务器电源(PowerShelf/Front-End PSU/415VAC->48VDC架构)	AEIS	2026-02-14	43.83	82.36	6.59	18.0%	41.0%	56.0%	7.0%
									
data center - 机房配电UPS/PDU(415VAC->415VAC)	NVT	2026-02-14	23.38	26.36	4.69	42.0%	58.0%	26.0%	1011.0%
