sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
crypto,MSTR,2026-03-30,NA,NA,87.94,2.0%,1601.0%,-31.0%,1781.0%
crypto,BMNR,2026-03-30,NA,NA,1157.72,91.0%,545920.0%,26333.0%,131984.0%
crypto,CRCL,2026-03-30,NA,NA,8.08,77.0%,1252.0%,655.0%,2912.0%
crypto,DJT,2026-03-30,NA,NA,655.73,1.0%,1508.0%,0.0%,1508.0%
,,,,,,,,,
misc,TEM,2026-03-30,NA,NA,5.96,83.0%,450.0%,-17.0%,316.0%
,,,,,,,,,
TMT - mag7,AAPL,2026-03-30,23.83,31.20,8.31,16.0%,20.0%,18.0%,16.0%
TMT - mag7,MSFT,2026-03-30,14.61,22.46,8.73,17.0%,64.0%,23.0%,60.0%
TMT - mag7,GOOG,2026-03-30,21.11,25.28,8.21,18.0%,21.0%,20.0%,30.0%
TMT - mag7,AMZN,2026-03-30,14.66,28.02,3.01,14.0%,19.0%,23.0%,6.0%
TMT - mag7,META,2026-03-30,13.34,22.83,6.75,24.0%,8.0%,8.0%,9.0%
,,,,,,,,,
TMT - tsla,TSLA,2026-03-30,118.59,330.19,14.06,-3.0%,-57.0%,4.0%,-64.0%
,,,,,,,,,
TMT - e-commerce,UI,2026-03-30,41.75,50.22,15.01,36.0%,74.0%,62.0%,71.0%
,,,,,,,,,
,,,,,,,,,
TMT - cons disc - Mobility/Delivery,UBER,2026-03-30,21.50,14.80,2.77,20.0%,-68.0%,44.0%,-96.0%
TMT - cons disc - Mobility/Delivery,DASH,2026-03-30,38.93,69.60,4.69,38.0%,26.0%,81.0%,51.0%
TMT - cons disc - Mobility/Delivery,CART,2026-03-30,11.46,23.39,2.39,12.0%,-34.0%,16.0%,-47.0%
,,,,,,,,,
TMT - cons disc - E-comm,SHOP,2026-03-30,72.93,119.34,12.61,31.0%,-37.0%,36.0%,-43.0%
TMT - cons disc - E-comm,EBAY,2026-03-30,15.74,20.26,3.53,15.0%,1.0%,12.0%,-22.0%
TMT - cons disc - E-comm,ETSY,2026-03-30,12.96,35.00,1.59,3.0%,-23.0%,-25.0%,-15.0%
TMT - cons disc - E-comm,SE,2026-03-30,17.18,30.36,1.87,38.0%,90.0%,,67.0%
TMT - cons disc - E-comm,CPNG,2026-03-30,31.14,162.89,0.97,11.0%,-92.0%,-52.0%,-117.0%
,,,,,,,,,
TMT - cons disc - entertain,NFLX,2026-03-30,13.27,36.79,8.67,19.0%,30.0%,22.0%,29.0%
TMT - cons disc - entertain,DIS,2026-03-30,11.30,13.90,1.75,6.0%,1.0%,0.0%,-6.0%
TMT - cons disc - entertain,SPOT,2026-03-30,34.12,49.23,5.03,17.0%,123.0%,56.0%,249.0%
