,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Close_MA20,Volume_MA50,Volume/MA50,volume_pct,volume_pct_ge90_count_last_5,volume_pct_ge90_count_last_10,SELL
0,2021-01-04,F (Jan 2021),23.4,27.35,23.15,26.45,26.275,2.6,132333,0,119409,,,,,,,False
1,2021-01-05,F (Jan 2021),26.5,27.45,24.95,25.4,25.325,-0.95,87182,0,111463,,,,,,,False
2,2021-01-06,F (Jan 2021),25.5,26.45,23.2,24.7,25.125,-0.2,143351,139,104005,,,,,,,False
3,2021-01-07,F (Jan 2021),24.6,24.63,22.95,23.2,23.225,-1.9,90569,309,97478,,,,,,,False
4,2021-01-08,F (Jan 2021),23.2,23.77,22.55,22.8,22.775,-0.45,87598,0,86283,,,,,,,False
5,2021-01-11,F (Jan 2021),22.8,24.81,22.8,24.35,24.475,1.7,89976,110,76470,,,,,,,False
6,2021-01-12,F (Jan 2021),24.3,24.8,23.3,23.54,23.325,-1.15,76341,0,66181,,,,,,,False
7,2021-01-13,F (Jan 2021),23.5,23.96,22.5,22.75,22.675,-0.65,68196,0,57587,,,,,,,False
8,2021-01-14,F (Jan 2021),22.75,23.3,22.27,23.2,23.175,0.5,61207,0,49860,,,,,,,False
9,2021-01-15,F (Jan 2021),23.1,25.2,23.0,24.6,23.775,0.6,97472,0,40776,,,,,,,False
10,2021-01-19,F (Jan 2021),24.3,24.55,22.55,23.2,23.225,-0.55,88801,0,18074,,,,,,,False
11,2021-01-20,F (Jan 2021),22.9,23.0,22.2,22.5,22.59,-0.635,908,0,16066,,,,,,,False
12,2021-01-21,G (Feb 2021),24.81,25.2,24.5,24.6,24.525,-0.25,76586,0,213879,,,,,,,False
13,2021-01-22,G (Feb 2021),24.6,25.88,24.6,24.85,24.875,0.35,67721,409,204641,,,,,,,False
14,2021-01-25,G (Feb 2021),25.0,27.1,24.35,25.85,25.9535,1.0785,127359,384,195131,,,,,,,False
15,2021-01-26,G (Feb 2021),25.9,26.47,24.95,25.3,25.4095,-0.544,99024,0,188249,,,,,,,False
16,2021-01-27,G (Feb 2021),25.35,36.15,25.25,33.05,31.5342,6.1247,287653,0,179190,,,,,,,False
17,2021-01-28,G (Feb 2021),32.7,34.35,28.85,30.49,30.3946,-1.1396,209415,102,156932,,,,,,,False
18,2021-01-29,G (Feb 2021),30.4,34.1,29.6,32.85,32.3859,1.9913,189447,1097,154737,,,,,,,False
19,2021-02-01,G (Feb 2021),33.05,34.55,30.07,30.6,30.3302,-2.0557,123261,0,135918,25.714,,,,,,False
20,2021-02-02,G (Feb 2021),30.6,30.8,27.15,27.35,27.5781,-2.7521,118548,0,120354,25.759000000000004,,,,,,False
21,2021-02-03,G (Feb 2021),27.45,27.54,25.25,25.5,25.7794,-1.7987,91707,0,111756,25.764,,,,,,False
22,2021-02-04,G (Feb 2021),25.53,26.4,24.1,24.3,24.2274,-1.552,88608,0,106565,25.744,,,,,,False
23,2021-02-05,G (Feb 2021),24.35,24.9,24.05,24.2,24.0993,-0.1281,73362,0,98018,25.794,,,,,,False
24,2021-02-08,G (Feb 2021),24.05,24.45,23.74,23.85,23.8379,-0.2614,70831,150,88467,25.8465,,,,,,False
25,2021-02-09,G (Feb 2021),23.85,24.5,23.45,23.7,23.7021,-0.1358,71579,0,78401,25.814000000000004,,,,,,False
26,2021-02-10,G (Feb 2021),23.8,25.15,23.4,23.75,23.7413,0.0392,95580,0,69886,25.8245,,,,,,False
27,2021-02-11,G (Feb 2021),23.75,24.35,22.65,23.0,22.71,-1.0313,86236,73,56795,25.837,,,,,,False
28,2021-02-12,G (Feb 2021),23.0,23.75,21.3,21.4,21.3594,-1.3506,83230,0,48842,25.747000000000003,,,,,,False
29,2021-02-16,G (Feb 2021),21.4,22.5,21.13,21.6,21.2418,-0.1176,111226,555,28089,25.597,,,,,,False
30,2021-02-17,G (Feb 2021),21.5,22.1,20.8,21.7,22.81,1.5682,2564,0,25046,25.522,,,,,,False
31,2021-02-18,H (Mar 2021),25.75,26.75,25.5,25.85,25.8017,0.2017,106783,354,252403,25.6895,,,,,,False
32,2021-02-19,H (Mar 2021),25.85,26.55,24.54,24.9,24.7988,-1.0029,117406,3025,241118,25.704500000000003,,,,,,False
33,2021-02-22,H (Mar 2021),24.8,26.33,24.6,25.6,25.9031,1.1043,107045,850,230852,25.742,,,,,,False
34,2021-02-23,H (Mar 2021),25.55,27.55,24.7,25.05,24.748,-1.1551,147783,522,217889,25.701999999999998,,,,,,False
35,2021-02-24,H (Mar 2021),25.0,26.0,23.7,24.0,23.7595,-0.9885,110416,353,203429,25.637,,,,,,False
36,2021-02-25,H (Mar 2021),24.0,29.0,23.78,28.3,28.215,4.4555,209128,455,204080,25.3995,,,,,,False
37,2021-02-26,H (Mar 2021),28.3,29.35,26.13,27.1,26.7444,-1.4706,196456,0,175182,25.23,,,,,,False
38,2021-03-01,H (Mar 2021),26.75,27.0,24.2,24.55,24.6158,-2.1286,113262,244,162956,24.815,,,,,,False
39,2021-03-02,H (Mar 2021),24.5,25.15,24.11,24.85,24.765,0.1492,95795,150,147401,24.5275,,,,,,False
40,2021-03-03,H (Mar 2021),24.75,26.4,23.65,26.35,26.1275,1.3625,130079,967,145366,24.4775,,,,,,False
41,2021-03-04,H (Mar 2021),26.2,29.25,25.19,27.45,27.521,1.3935,165809,0,136244,24.575,,,,,,False
42,2021-03-05,H (Mar 2021),27.3,28.55,24.9,25.1,25.0507,-2.4703,142788,190,121277,24.615000000000002,,,,,,False
43,2021-03-08,H (Mar 2021),24.9,26.65,24.35,25.45,25.3667,0.316,109828,160,106909,24.677500000000002,,,,,,False
44,2021-03-09,H (Mar 2021),25.4,25.55,23.6,23.94,23.9726,-1.3941,94573,0,91327,24.682,,,,,,False
45,2021-03-10,H (Mar 2021),23.95,24.25,23.05,23.45,23.5048,-0.4678,104199,0,83250,24.6695,,,,,,False
46,2021-03-11,H (Mar 2021),23.42,23.65,22.65,23.05,22.8882,-0.6166,77841,0,70848,24.6345,,,,,,False
47,2021-03-12,H (Mar 2021),23.0,23.81,21.93,22.05,21.9778,-0.9104,89608,168,60646,24.587,,,,,,False
48,2021-03-15,H (Mar 2021),22.05,22.24,20.05,20.35,20.1006,-1.8772,82108,0,47687,24.5345,,,,,,False
49,2021-03-16,H (Mar 2021),20.42,20.6,19.55,19.95,19.9204,-0.1802,85204,0,33898,24.452,107679.64,0.7912730763215776,,,,False
50,2021-03-17,H (Mar 2021),19.8,20.7,19.8,20.2,20.8,0.8796,1841,0,25211,24.377000000000002,105069.8,0.017521685584249706,,,,False
51,2021-03-18,J (Apr 2021),23.15,24.55,22.75,24.16,24.3001,1.2976,119571,501,223099,24.2925,105717.58,1.1310417813196254,,,,False
52,2021-03-19,J (Apr 2021),24.15,24.81,23.2,23.55,23.315,-0.9851,98565,0,214012,24.225,104821.86,0.9403095880954603,,,,False
53,2021-03-22,J (Apr 2021),23.6,23.85,21.55,21.81,21.731,-1.584,86738,414,207222,24.0355,104745.24,0.8280853621606098,,,,False
54,2021-03-23,J (Apr 2021),21.8,23.3,21.75,22.6,22.833,1.102,101610,144,209764,23.913,105025.48,0.9674795106863592,,,,False
55,2021-03-24,J (Apr 2021),22.6,23.1,21.85,22.9,22.9775,0.1445,95892,0,193637,23.857999999999997,105143.8,0.9120081260140873,,,,False
56,2021-03-25,J (Apr 2021),22.9,24.5,22.15,22.25,22.3056,-0.6719,136596,0,180052,23.555500000000002,106348.9,1.284413849132431,,,,False
57,2021-03-26,J (Apr 2021),22.3,22.9,21.1,21.45,21.3859,-0.9197,133483,283,169944,23.273000000000003,107654.64,1.23991868813086,,,,False
58,2021-03-29,J (Apr 2021),21.55,22.7,21.45,21.9,22.0032,0.6173,109585,177,162049,23.1405,108622.2,1.008863749767543,,,,False
59,2021-03-30,J (Apr 2021),21.9,22.35,20.97,21.1,21.0321,-0.9711,76406,0,155859,22.953,108200.88,0.706149524846748,,,,False
60,2021-03-31,J (Apr 2021),21.1,21.35,20.37,20.75,20.734,-0.2981,89544,96,147130,22.673000000000002,108215.74,0.8274581867665461,,,,False
61,2021-04-01,J (Apr 2021),20.7,20.8,19.8,19.9,20.0824,-0.6516,85570,50,152207,22.2955,109908.98,0.7785533083829911,,,,False
62,2021-04-05,J (Apr 2021),19.9,19.9,19.3,19.45,19.5423,-0.5401,64903,1677,132500,22.012999999999998,109675.32,0.5917739743088964,,,,False
63,2021-04-06,J (Apr 2021),19.48,19.85,19.15,19.65,19.561,0.0187,73609,38,125853,21.723000000000003,109793.08,0.6704338743388928,,,,False
64,2021-04-07,J (Apr 2021),19.65,19.7,18.85,18.85,18.986,-0.575,73027,60,118895,21.4685,108706.44,0.671781727007158,,,,False
65,2021-04-08,J (Apr 2021),18.9,18.91,18.25,18.4,18.4887,-0.4973,89696,0,116389,21.216,108519.88,0.8265398008180621,,,,False
66,2021-04-09,J (Apr 2021),18.4,18.83,18.0,18.45,18.1505,-0.3382,65479,0,112318,20.986,104076.4,0.629143590669931,,,,False
67,2021-04-12,J (Apr 2021),18.35,18.85,17.95,18.05,18.0039,-0.1466,75084,146,100790,20.786,101389.78,0.7405480118410357,,,,False
