,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Close_MA20,Volume_MA50,Volume/MA50,volume_pct,volume_pct_ge90_count_last_5,volume_pct_ge90_count_last_10,SELL
524,2023-03-13,H (Mar 2023),23.95,28.4,22.4,25.1,25.3724,1.1916,204022,864,91311,21.043499999999998,88663.96,2.3010702431968975,99.0,3.0,3.0,True
525,2023-03-14,H (Mar 2023),25.25,25.65,22.2,23.58,23.7017,-1.6707,155485,855,81246,21.2295,90800.94,1.7123721406408348,96.66666666666667,4.0,4.0,True
526,2023-03-15,H (Mar 2023),23.6,28.55,23.02,25.85,25.8129,2.1112,182630,180,76752,21.5745,93256.5,1.9583621516998815,98.66666666666667,5.0,5.0,True
532,2023-03-23,J (Apr 2023),23.5,24.65,22.0,23.93,24.2236,0.7236,132921,0,140161,22.1685,93098.5,1.4277458820496571,93.33333333333333,1.0,5.0,True
533,2023-03-24,J (Apr 2023),23.85,26.25,23.16,23.35,23.2241,-0.9995,138091,0,130045,22.223499999999998,94564.26,1.4602874278294993,93.33333333333333,2.0,5.0,True
561,2023-05-04,K (May 2023),20.65,22.1,19.8,21.2,21.1905,1.2364,161231,60,128905,19.278,91073.66,1.7703362311342268,98.0,2.0,3.0,True
607,2023-07-12,N (Jul 2023),15.41,15.7,14.25,14.31,14.2934,-1.2591,114150,294,107742,15.181000000000001,84278.42,1.3544392502849485,90.0,3.0,3.0,True
623,2023-08-03,Q (Aug 2023),16.85,17.75,16.35,16.6,16.7483,0.0461,142012,553,134525,15.029,84460.44,1.6814025595888442,97.0,2.0,3.0,True
624,2023-08-04,Q (Aug 2023),16.75,17.6,15.65,17.35,17.5076,0.7593,140503,0,128871,15.103500000000002,85648.84,1.6404542081363858,96.66666666666667,3.0,4.0,True
626,2023-08-08,Q (Aug 2023),16.25,18.55,16.2,16.53,16.4955,0.2012,174613,216,101339,15.179499999999999,87703.92,1.9909372351885755,98.33333333333333,4.0,5.0,True
627,2023-08-09,Q (Aug 2023),16.5,17.2,15.85,16.31,16.3469,-0.1486,141708,0,89470,15.279499999999999,88764.48,1.5964493905670376,96.33333333333334,4.0,6.0,True
628,2023-08-10,Q (Aug 2023),16.3,16.95,15.1,16.09,16.0072,-0.3397,185182,184,76033,15.374500000000001,90644.7,2.0429434925594108,99.0,4.0,6.0,True
633,2023-08-17,U (Sep 2023),18.0,18.95,17.6,18.9,18.8548,0.843,126664,0,197902,15.991,91101.52,1.3903609950745057,93.33333333333333,1.0,5.0,True
634,2023-08-18,U (Sep 2023),18.85,19.55,18.2,18.5,18.4487,-0.4061,135240,450,189340,16.131,92273.92,1.46563622744108,94.0,2.0,5.0,True
660,2023-09-26,V (Oct 2023),17.3,19.3,17.25,18.98,19.1742,1.6768,152290,0,175451,15.287499999999998,96535.86,1.5775484881991002,96.0,3.0,3.0,True
661,2023-09-27,V (Oct 2023),18.95,19.5,18.2,18.28,18.3022,-0.872,160182,0,161354,15.407,98300.42,1.6295149094988608,96.66666666666667,4.0,4.0,True
662,2023-09-28,V (Oct 2023),18.25,18.55,17.2,17.25,17.3515,-0.9507,141961,455,147790,15.503499999999999,101115.4,1.4039503379307208,95.0,4.0,5.0,True
663,2023-09-29,V (Oct 2023),17.25,17.85,16.5,17.59,17.7712,0.4197,140735,0,147897,15.633,102273.1,1.3760705405429188,94.33333333333334,4.0,6.0,True
665,2023-10-03,V (Oct 2023),17.85,20.05,17.55,19.7,19.6564,1.8057,160035,575,137978,16.011000000000003,104837.86,1.5265000640035957,96.33333333333334,4.0,7.0,True
666,2023-10-04,V (Oct 2023),19.75,20.35,18.4,18.75,18.5177,-1.1387,158232,16,121244,16.1835,106644.84,1.4837286079664052,96.0,4.0,8.0,True
668,2023-10-06,V (Oct 2023),18.4,19.6,17.51,17.95,18.0342,-0.1656,151277,565,111895,16.4925,107586.32,1.4060988423063452,94.66666666666667,3.0,7.0,True
672,2023-10-12,V (Oct 2023),16.35,17.85,15.8,16.95,16.9479,0.4458,143590,151,71947,17.077,108631.8,1.3218044808242153,94.33333333333334,2.0,5.0,True
673,2023-10-13,V (Oct 2023),16.97,20.2,16.63,19.35,19.2567,2.3088,185655,104,61868,17.336999999999996,109504.66,1.6954073004747012,99.0,2.0,5.0,True
677,2023-10-19,X (Nov 2023),19.35,20.82,19.0,20.68,20.5549,0.9582,159949,420,164775,18.07,106298.0,1.5047225723908257,95.66666666666667,2.0,4.0,True
678,2023-10-20,X (Nov 2023),20.65,21.15,20.1,20.99,20.725,0.1701,140524,583,161959,18.2445,105404.84,1.3331835615897714,92.0,2.0,4.0,True
679,2023-10-23,X (Nov 2023),20.75,21.9,19.25,19.8,20.0003,-0.7247,143591,325,158423,18.369,106099.58,1.3533606824833802,93.66666666666667,3.0,5.0,True
681,2023-10-25,X (Nov 2023),19.12,20.85,18.9,20.23,20.3008,1.2133,138434,0,151267,18.472,107057.1,1.2930856524228658,90.0,4.0,6.0,True
792,2024-04-05,J (Apr 2024),15.96,16.35,15.43,16.01,16.0774,0.2466,154104,96,119782,14.574000000000002,90400.8,1.7046751798656647,94.0,3.0,3.0,True
795,2024-04-10,J (Apr 2024),15.0,16.2,14.75,15.46,15.3171,0.2418,167943,0,89245,14.666500000000003,94715.58,1.7731296160568304,97.0,3.0,4.0,True
797,2024-04-12,J (Apr 2024),15.0,18.1,15.0,17.05,17.0882,2.0643,215259,270,62923,14.8625,96908.22,2.2212666789256885,99.66666666666667,2.0,5.0,True
798,2024-04-15,J (Apr 2024),17.05,18.7,15.95,18.55,18.4081,1.3199,158535,3294,51773,15.059999999999999,97929.44,1.6188696677934644,94.33333333333334,3.0,6.0,True
802,2024-04-19,K (May 2024),17.35,19.7,17.1,17.8,17.8354,0.4525,161953,717,177618,15.7875,98509.46,1.6440349992782417,95.66666666666667,2.0,4.0,True
