,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,next_Futures,next_Open,next_High,next_Low,next_Close,next_Settle,next_Change,next_Total Volume,next_EFP,next_Open Interest,front_next_OI,front_next_OI_delta,Close_MA20,Close_MA50,close_gt_ma50,ma20_rising,close_gt_ma20,Volume_MA50,Volume/MA50,volume_pct,vol_ge_1.85x_ma50,vol_ge_90pct,vol_ge_90pct_last_5days,vol_ge_90pct_last_10days,risk_off_score,risk_off_level
0,2021-01-04,F (Jan 2021),23.4,27.35,23.15,26.45,26.275,2.6,132333,0,119409,G (Feb 2021),25.44,27.8,25.15,27.19,27.125,1.55,101687.0,0.0,118542.0,237951.0,,,,False,False,False,,,,False,False,,,0,GREEN
1,2021-01-05,F (Jan 2021),26.5,27.45,24.95,25.4,25.325,-0.95,87182,0,111463,G (Feb 2021),27.25,28.02,26.25,26.7,26.425,-0.7,73697.0,0.0,125335.0,236798.0,-1153.0,,,False,False,False,,,,False,False,,,0,GREEN
2,2021-01-06,F (Jan 2021),25.5,26.45,23.2,24.7,25.125,-0.2,143351,139,104005,G (Feb 2021),26.65,27.37,25.04,25.94,26.275,-0.15,119720.0,200.0,135313.0,239318.0,2520.0,,,False,False,False,,,,False,False,,,0,GREEN
3,2021-01-07,F (Jan 2021),24.6,24.63,22.95,23.2,23.225,-1.9,90569,309,97478,G (Feb 2021),25.8,25.86,24.8,24.97,24.975,-1.3,78604.0,0.0,144896.0,242374.0,3056.0,,,False,False,False,,,,False,False,,,0,GREEN
4,2021-01-08,F (Jan 2021),23.2,23.77,22.55,22.8,22.775,-0.45,87598,0,86283,G (Feb 2021),25.0,25.62,24.62,24.82,24.825,-0.15,89257.0,0.0,160089.0,246372.0,3998.0,,,False,False,False,,,,False,False,,,0,GREEN
5,2021-01-11,F (Jan 2021),22.8,24.81,22.8,24.35,24.475,1.7,89976,110,76470,G (Feb 2021),25.0,26.25,24.9,26.05,26.175,1.35,96167.0,293.0,167820.0,244290.0,-2082.0,,,False,False,False,,,,False,False,,,0,GREEN
6,2021-01-12,F (Jan 2021),24.3,24.8,23.3,23.54,23.325,-1.15,76341,0,66181,G (Feb 2021),26.0,26.31,25.29,25.51,25.425,-0.75,72708.0,240.0,173087.0,239268.0,-5022.0,,,False,False,False,,,,False,False,,,0,GREEN
7,2021-01-13,F (Jan 2021),23.5,23.96,22.5,22.75,22.675,-0.65,68196,0,57587,G (Feb 2021),25.5,25.8,24.85,24.98,25.075,-0.35,71414.0,0.0,186561.0,244148.0,4880.0,,,False,False,False,,,,False,False,,,0,GREEN
8,2021-01-14,F (Jan 2021),22.75,23.3,22.27,23.2,23.175,0.5,61207,0,49860,G (Feb 2021),24.95,25.5,24.55,25.32,25.325,0.25,73390.0,500.0,199189.0,249049.0,4901.0,,,False,False,False,,,,False,False,,,0,GREEN
9,2021-01-15,F (Jan 2021),23.1,25.2,23.0,24.6,23.775,0.6,97472,0,40776,G (Feb 2021),25.25,26.55,25.15,26.35,25.975,0.65,116811.0,0.0,207088.0,247864.0,-1185.0,,,False,False,False,,,,False,False,,,0,GREEN
10,2021-01-19,F (Jan 2021),24.3,24.55,22.55,23.2,23.225,-0.55,88801,0,18074,G (Feb 2021),26.45,26.45,25.1,25.3,25.225,-0.75,110293.0,200.0,220268.0,238342.0,-9522.0,,,False,False,False,,,,False,False,,,0,GREEN
