,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Close_MA20,Volume_MA50,Volume/MA50,volume_pct,volume_pct_ge90_count_last_5,volume_pct_ge90_count_last_10
747,2024-01-31,G (Feb 2024),14.1,15.0,13.84,14.88,14.8735,0.8806,163162,0,128233,14.0945,82124.0,1.9867760946860844,97.0,1.0,1.0
756,2024-02-13,G (Feb 2024),13.85,17.85,13.61,15.6,15.7525,1.9491,152241,120,32459,14.1765,85333.98,1.784060698915016,94.0,1.0,2.0
770,2024-03-05,H (Mar 2024),14.1,15.25,14.0,14.68,14.703,0.6733,145149,0,138072,14.365,87167.28,1.6651775758059675,93.33333333333333,1.0,1.0
789,2024-04-02,J (Apr 2024),14.65,15.65,14.45,14.91,14.9996,0.4974,145629,559,147774,14.434999999999999,86414.36,1.6852407400806995,93.33333333333333,1.0,1.0
791,2024-04-04,J (Apr 2024),14.9,16.35,14.45,15.95,15.8308,0.8862,186832,33,130103,14.503499999999999,88950.74,2.100398490220542,99.0,2.0,2.0
792,2024-04-05,J (Apr 2024),15.96,16.35,15.43,16.01,16.0774,0.2466,154104,96,119782,14.574000000000002,90400.8,1.7046751798656647,94.0,3.0,3.0
795,2024-04-10,J (Apr 2024),15.0,16.2,14.75,15.46,15.3171,0.2418,167943,0,89245,14.666500000000003,94715.58,1.7731296160568304,97.0,3.0,4.0
797,2024-04-12,J (Apr 2024),15.0,18.1,15.0,17.05,17.0882,2.0643,215259,270,62923,14.8625,96908.22,2.2212666789256885,99.66666666666667,2.0,5.0
798,2024-04-15,J (Apr 2024),17.05,18.7,15.95,18.55,18.4081,1.3199,158535,3294,51773,15.059999999999999,97929.44,1.6188696677934644,94.33333333333334,3.0,6.0
802,2024-04-19,K (May 2024),17.35,19.7,17.1,17.8,17.8354,0.4525,161953,717,177618,15.7875,98509.46,1.6440349992782417,95.66666666666667,2.0,4.0
858,2024-07-11,N (Jul 2024),13.0,13.4,12.7,13.12,13.1184,0.1849,141021,210,100532,13.425999999999998,90153.36,1.5642345443364507,90.33333333333333,1.0,1.0
863,2024-07-18,Q (Aug 2024),14.75,15.5,14.4,15.3,15.2934,0.4854,166976,130,198566,13.669,89443.3,1.8668363085887931,97.33333333333334,1.0,2.0
864,2024-07-19,Q (Aug 2024),15.25,16.15,15.23,15.9,15.9169,0.6235,182927,1727,185843,13.7245,91296.92,2.0036491921085617,98.0,2.0,3.0
867,2024-07-24,Q (Aug 2024),14.85,17.25,14.84,17.06,17.072,2.1397,231402,0,179669,13.9195,97063.02,2.3840387410158885,100.0,3.0,4.0
868,2024-07-25,Q (Aug 2024),17.05,17.95,16.09,17.18,17.1444,0.0724,227721,2900,174334,14.081,99968.44,2.277928914365374,99.66666666666667,3.0,4.0
873,2024-08-01,Q (Aug 2024),15.85,18.2,15.65,17.7,17.4669,1.4675,201973,318,166539,14.803500000000003,106509.82,1.8962852439333762,99.0,1.0,4.0
874,2024-08-02,Q (Aug 2024),17.65,23.0,17.65,22.5,21.8527,4.3858,361047,1188,174657,15.262,111964.7,3.224650269236643,100.0,2.0,4.0
875,2024-08-05,Q (Aug 2024),23.0,37.1,22.65,31.0,32.0986,10.2459,327852,0,164777,16.157,118397.82,2.769071254859253,99.66666666666667,3.0,5.0
876,2024-08-06,Q (Aug 2024),30.65,30.72,21.85,24.36,25.7702,-6.3284,224511,3583,145439,16.7225,120443.44,1.8640367628158079,98.66666666666667,4.0,6.0
877,2024-08-07,Q (Aug 2024),24.5,25.95,21.3,25.75,25.0766,-0.6936,154856,0,135726,17.362000000000002,121981.82,1.269500651818443,92.0,5.0,6.0
895,2024-09-03,U (Sep 2024),15.45,19.8,15.3,19.08,19.1208,3.7098,198718,1110,143341,17.700499999999998,116576.62,1.7046128117284582,97.66666666666667,1.0,1.0
896,2024-09-04,U (Sep 2024),19.05,20.35,18.15,19.6,19.5445,0.4237,173783,160,136448,17.4625,118224.24,1.4699438964462785,95.0,2.0,2.0
898,2024-09-06,U (Sep 2024),18.85,21.55,18.05,20.95,20.4643,1.712,194456,0,123714,17.0505,121768.66,1.5969297847245751,97.33333333333334,3.0,3.0
901,2024-09-11,U (Sep 2024),18.35,20.35,17.2,17.45,17.2328,-1.0536,159598,370,88397,16.935,123621.26,1.291023890227296,91.66666666666666,2.0,4.0
915,2024-10-01,V (Oct 2024),18.85,20.7,18.65,20.55,20.4666,1.6241,159310,120,117314,18.380499999999998,117445.7,1.3564566433679563,91.66666666666666,1.0,1.0
941,2024-11-06,X (Nov 2024),18.25,18.4,15.9,16.24,16.246,-2.0982,179104,2675,121088,19.423000000000002,90937.36,1.9695315544678227,96.0,1.0,1.0
971,2024-12-19,F (Jan 2025),19.95,21.8,18.55,21.45,21.7113,1.9493,314207,1373,169747,15.3225,79973.96,3.9288663459956212,99.33333333333333,1.0,1.0
972,2024-12-20,F (Jan 2025),21.4,22.8,18.05,18.28,18.2606,-3.4507,231176,3630,131736,15.394,83099.12,2.7819307833825437,98.66666666666667,2.0,2.0
